base,quote,status,symbol,trading_disabled,type
AGLD,USDC,online,AGLD-USDC,False,SPOT
OXT,USD,online,OXT-USD,False,SPOT
OXT,USDC,online,OXT-USDC,False,SPOT
TRUST,USD,online,TRUST-USD,False,SPOT
TRUST,USDC,online,TRUST-USDC,False,SPOT
JITOSOL,USD,online,JITOSOL-USD,False,SPOT
JITOSOL,USDC,online,JITOSOL-USDC,False,SPOT
ARKM,USD,online,ARKM-USD,False,SPOT
ARKM,USDC,online,ARKM-USDC,False,SPOT
PLU,USD,online,PLU-USD,False,SPOT
PLU,USDC,online,PLU-USDC,False,SPOT
ROSE,USD,online,ROSE-USD,False,SPOT
ROSE,USDC,online,ROSE-USDC,False,SPOT
STG,USD,online,STG-USD,False,SPOT
STG,USDC,online,STG-USDC,False,SPOT
YFI,USD,online,YFI-USD,False,SPOT
YFI,USDC,online,YFI-USDC,False,SPOT
CHZ,USD,online,CHZ-USD,False,SPOT
CHZ,USDC,online,CHZ-USDC,False,SPOT
COOKIE,USD,online,COOKIE-USD,False,SPOT
COOKIE,USDC,online,COOKIE-USDC,False,SPOT
KAITO,USD,online,KAITO-USD,False,SPOT
KAITO,USDC,online,KAITO-USDC,False,SPOT
MANA,USD,online,MANA-USD,False,SPOT
MANA,USDC,online,MANA-USDC,False,SPOT
COW,USD,online,COW-USD,False,SPOT
COW,USDC,online,COW-USDC,False,SPOT
G,USD,online,G-USD,False,SPOT
G,USDC,online,G-USDC,False,SPOT
KSM,USD,online,KSM-USD,False,SPOT
KSM,USDC,online,KSM-USDC,False,SPOT
MANA,EUR,online,MANA-EUR,False,SPOT
SD,USD,online,SD-USD,False,SPOT
SD,USDC,online,SD-USDC,False,SPOT
FIL,GBP,online,FIL-GBP,False,SPOT
LQTY,USD,online,LQTY-USD,False,SPOT
LQTY,USDC,online,LQTY-USDC,False,SPOT
XLM,EUR,online,XLM-EUR,False,SPOT
AERGO,USD,online,AERGO-USD,False,SPOT
AERGO,USDC,online,AERGO-USDC,False,SPOT
SWELL,USD,online,SWELL-USD,False,SPOT
SWELL,USDC,online,SWELL-USDC,False,SPOT
DEXT,USD,online,DEXT-USD,False,SPOT
DEXT,USDC,online,DEXT-USDC,False,SPOT
APE,EUR,online,APE-EUR,False,SPOT
MNDE,USD,online,MNDE-USD,False,SPOT
MNDE,USDC,online,MNDE-USDC,False,SPOT
CVC,USD,online,CVC-USD,False,SPOT
CVC,USDC,online,CVC-USDC,False,SPOT
REQ,USD,online,REQ-USD,False,SPOT
